poviat,unemployment,age,feminization,services,retirees,soc_assistance,marriages,city,working_age,Duda_majority
Kalisz,2.6,43.9,115,34.93486905251611,21.607844702033,493.71070416774734,0.13733216287931688,0,57.4,0
kamiennogórski,5.8,42.9,105,31.513490725126477,19.073059043918686,447.79819977335274,0.13957307060755336,0,60.6,0
kamieński,14.8,43.0,104,38.980055541529914,18.932317708887425,405.08772697291425,0.12710908742739208,0,60.4,0
kartuski,2.5,34.8,100,21.920819074645966,11.514595005631397,323.61888598750335,0.12983780138740433,0,59.7,1
Katowice,1.0,44.7,110,52.22831863491425,22.188787255698934,374.3135976213735,0.13814068189115153,1,58.6,0
kazimierski,6.7,43.9,103,12.850955794504182,20.601445611112762,380.4037038579375,0.13486421368868795,0,60.9,1
kędzierzyńsko-kozielski,7.5,44.3,107,26.55815475216751,19.793353216872603,394.10637697060076,0.13030464422667234,0,61.2,0
kępiński,1.6,39.7,102,12.307692307692308,15.939487343005439,324.37392659120303,0.13937751324157233,0,61.1,1
kętrzyński,18.0,42.2,104,34.61154549991682,17.75444342758056,561.8684181879485,0.14255896472552704,0,61.2,0
Kielce,4.9,43.6,113,49.579737053392215,22.046476299960997,793.1196331061524,0.1392338800730811,1,57.7,0
kielecki,10.3,39.3,101,20.875938294225428,14.932854931624215,340.87715098528344,0.1364628252524153,0,62.8,1
kluczborski,7.2,42.6,105,27.92762034824172,18.307621811516725,435.087419428746,0.13484038490911868,0,62.6,1
kłobucki,6.3,42.3,103,16.782501172557883,18.037379863106004,206.7445957607783,0.14331311841685285,0,61.6,1
kłodzki,11.1,44.1,107,40.92595632901001,20.727107015367476,521.5917342844123,0.13297805007721714,0,59.5,0
kolbuszowski,7.5,39.5,101,22.936906159923133,15.467660572566912,270.886233814221,0.1358962824920477,0,63.8,1
kolneński,14.0,40.1,100,15.635499467344095,15.715899834458838,290.83126021494076,0.1574743148435242,0,63.7,1
kolski,4.0,41.4,104,18.502847200253086,17.86525534147382,313.88214961891913,0.14786629308058621,0,60.4,1
kołobrzeski,1.3,43.2,109,36.018009004502254,19.124348548553588,462.6508031420731,0.12934615675117703,0,60.0,0
konecki,11.1,43.7,103,28.16458903415425,20.580279996994665,469.13782250995513,0.15141876831375692,0,59.8,1
Konin,5.7,44.6,112,39.29433537174123,22.01381899295449,488.4525403280651,0.15724545034139442,0,58.4,0
koniński,8.5,39.3,101,16.32133422451383,14.610966298355287,293.7633000392148,0.13870498950427904,0,62.9,1
Koszalin,4.3,43.6,112,38.13945729537367,22.11998355877737,348.2567469733204,0.1291570136761079,0,57.0,0
koszaliński,11.5,40.5,101,27.75829731713284,14.909747292418773,886.6730249699158,0.12081829121540313,0,63.0,0
kościański,2.7,39.9,104,23.608177937542127,16.189080989606357,393.35293421567764,0.14138135710948058,0,60.9,0
kościerski,6.2,37.8,100,25.49825675183431,14.441173233546115,400.07222044904245,0.14505833149900946,0,60.1,1
kozienicki,10.0,41.8,101,22.163485615714205,18.81094054702735,310.42864176542156,0.15364101538410255,0,59.7,1
krakowski,3.7,40.0,104,19.096648729287654,15.83661308055107,330.4780167526742,0.11970390955418118,0,60.9,1
Kraków,2.0,41.2,114,50.82405617285262,19.9408303010467,461.8452880896915,0.12355813968412879,1,59.1,0
krapkowicki,5.5,43.2,107,17.261008656379374,18.121637096647685,376.32759110232644,0.12875900042354935,0,62.6,0
krasnostawski,11.0,43.7,105,18.296757879526776,21.54035853172721,628.9613503430396,0.1476335009010718,0,59.1,1
kraśnicki,10.2,42.4,106,17.15755165505487,19.80639342199102,432.4862557159039,0.1424151529135378,0,60.0,1
Krosno,2.3,43.3,112,35.95797228850098,20.902551251863212,516.8105880192694,0.14475816033354216,0,58.2,1
krośnieński,5.1,40.2,103,19.420802077322563,16.782593981279447,263.783305576089,0.13749187321322018,0,61.0,1
krośnieński,7.8,41.4,103,26.547962784728906,17.266410111437377,408.9945271662806,0.13505626584471722,0,61.5,0
krotoszyński,2.9,39.6,104,17.396045362023845,16.213732950280818,384.61643748220615,0.14618112172270104,0,60.4,1
kutnowski,8.1,44.2,108,23.406222108886904,20.349180378796508,576.3180177903882,0.14174320951858257,0,59.4,1
kwidzyński,5.6,39.1,102,22.8836199699449,14.799095871305937,561.5459956236324,0.14059682112198524,0,61.4,0
legionowski,6.5,40.5,107,45.04980133892124,16.390774549900915,283.01199114559176,0.1088670573849981,0,58.9,0
Legnica,4.2,43.0,111,38.2719654276287,20.05234021137393,511.63382164066434,0.1324911927528938,0,58.9,0
legnicki,8.1,41.3,104,18.725765476668006,16.879962295616867,830.8760995903273,0.12901062248486386,0,61.0,1
leski,16.0,42.0,102,28.44532279314888,17.851064634469196,365.596902159525,0.10188722060436443,0,62.0,1
leszczyński,2.5,37.9,101,12.27677352411119,13.7864722644709,181.33930648065592,0.13176343070925334,0,61.3,0
Leszno,3.2,41.9,109,38.28726194058725,19.499252027399418,381.4522680103929,0.14072907645067317,0,58.3,0
